"t(s)"	"xR(m)"	"yR(m)"	"vR(m/s)"	"N° WP"	"dist WP (m)"	"xCentreCercle(m)"	"yCentreCercle(m)"	"directionWP(rad)"	"xRobot/WP(m)"	"yRobot/WP(m)"	"Rayon(m)"	"capRobot(rad)"	"capCercleIdeal(rad)"	"ecartAngulaire_rad(rad)"	"consV_MDroit(rad/s)"	"consV_MGauche(rad/s)"	"vConsCGrad/s"	"distCurvWP(m)"	"distDecel(m)"
1090	0,0107177	0,0564398	0,107	0	1,36711	0,0553832	1	0	-0,989282	-0,94356	-0,944617	0,379822	01/01/6181	1,23828	1,25741	155,703	78,48	0	0
1100	0,0111181	0,0574428	0,108	0	1,36613	0,0563578	1	0	-0,988882	-0,942557	-0,943642	0,386907	1,61876	1,23185	1,27552	157,124	79,2	0	0
1110	0,0115294	0,0584523	0,109	0	1,36513	0,0573385	1	0	-0,988471	-0,941548	-0,942661	0,394057	1,61941	1,22535	1,29388	158,546	79,92	0	0
1120	0,0119517	0,059468	0,11	0	1,36413	0,0583254	1	0	-0,988048	-0,940532	-0,941675	0,401272	1,62006	1,21879	1,31251	159,967	80,64	0	0
1130	0,0123853	0,0604898	0,111	0	1,36311	0,0593182	1	0	-0,987615	-0,93951	-0,940682	0,408552	1,62071	1,21216	1,33142	161,389	81,36	0	0
1140	0,0128302	0,0615176	0,112	0	1,36208	0,060317	1	0	-0,98717	-0,938482	-0,939683	0,415897	1,62135	1,20546	01/01/3506	162,809	82,08	0	0
1150	0,0132867	0,0625513	0,113	0	1,36103	0,0613214	1	0	-0,986713	-0,937449	-0,938679	0,423307	1,62199	1,19868	1,37009	164,23	82,8	0	0
1160	0,013755	0,0635906	0,114	0	1,35998	0,0623315	1	0	-0,986245	-0,936409	-0,937668	0,430782	1,62263	1,19184	1,38987	165,65	83,52	0	0
1170	0,0142352	0,0646356	0,115	0	1,35891	0,0633471	1	0	-0,985765	-0,935364	-0,936653	0,438322	1,62325	1,18493	1,40995	167,07	84,24	0	0
1180	0,0147276	0,0656859	0,116	0	1,35783	0,0643681	1	0	-0,985272	-0,934314	-0,935632	0,445926	1,62388	1,17795	1,43036	168,49	84,96	0	0
1190	0,0152322	0,0667415	0,117	0	1,35674	0,0653944	1	0	-0,984768	-0,933258	-0,934606	0,453595	1,62449	01/01/1709	01/01/4511	169,909	85,68	0	0
1200	0,0157493	0,0678022	0,118	0	1,35563	0,0664258	1	0	-0,984251	-0,932198	-0,933574	0,461329	1,62511	1,16378	1,47217	171,328	86,4	0	0
1210	0,016279	0,0688678	0,119	0	1,35452	0,0674621	1	0	-0,983721	-0,931132	-0,932538	0,469128	1,62571	1,15658	1,49359	172,746	87,12	0	0
1220	0,0168215	0,0699381	0,12	0	1,35339	0,0685033	1	0	-0,983178	-0,930062	-0,931497	0,476992	1,62631	1,14932	1,51538	174,165	87,84	0	0
1230	0,017377	0,0710131	0,121	0	1,35224	0,0695492	1	0	-0,982623	-0,928987	-0,930451	0,48492	01/01/6269	1,14198	1,53753	175,582	88,56	0	0
1240	0,0179457	0,0720924	0,122	0	1,35109	0,0705997	1	0	-0,982054	-0,927908	-0,9294	0,492913	1,62748	1,13457	1,56007	177	89,28	0	0
1250	0,0185277	0,073176	0,123	0	1,34992	0,0716546	1	0	-0,981472	-0,926824	-0,928345	0,50097	1,62806	1,12708	01/01/583	178,417	90	0	0
1260	0,0191233	0,0742636	0,124	0	1,34874	0,0727138	1	0	-0,980877	-0,925736	-0,927286	0,509092	1,62862	1,11953	1,60633	179,834	90,72	0	0
1270	0,0197325	0,0753551	0,125	0	1,34755	0,073777	1	0	-0,980267	-0,924645	-0,926223	0,517279	1,62918	01/01/1119	1,63009	181,25	91,44	0	0
